,y_real,y_pred
1,0,0.147310317
2,0,0.158607513
3,0,0.084253438
4,0,0.081263863
5,0,0.26546979
6,1,0.200318992
7,0,0.041320872
8,0,0.092400759
9,0,0.056754418
10,1,0.207696632
11,0,0.17092523
12,0,0.154318392
13,0,0.148484275
14,0,0.12311776
15,0,0.181155398
16,0,0.29896903
17,1,0.182936996
18,0,0.076167129
19,0,0.270675898
20,0,0.405989319
21,0,0.114544638
22,0,0.34232533
23,0,0.08475288
24,0,0.225269377
25,0,0.194641173
26,0,0.147637144
27,0,0.062277589
28,0,0.132169917
29,0,0.047139082
30,0,0.110868499
31,0,0.089044392
32,0,0.048655588
33,0,0.145446539
34,0,0.096982099
35,0,0.1326157
36,0,0.083876826
37,0,0.095096044
38,0,0.065340377
39,1,0.098488264
40,0,0.256376237
41,0,0.187956616
42,0,0.120518923
43,1,0.121055588
44,0,0.116963878
45,0,0.396301627
46,0,0.233756438
47,0,0.123248577
48,0,0.122854739
49,0,0.139530659
50,0,0.200332597
51,1,0.202527732
52,0,0.084081128
53,0,0.228234917
54,0,0.021935569
55,0,0.253380805
56,0,0.120776333
57,0,0.153089821
58,0,0.159973994
59,0,0.203019187
60,0,0.288509339
61,0,0.10182897
62,0,0.142251775
63,0,0.192192316
64,1,0.135691062
65,0,0.035894033
66,0,0.096123755
67,0,0.149908841
68,0,0.093650088
69,0,0.12867713
70,0,0.091580957
71,0,0.10891594
72,0,0.074517749
73,0,0.054220315
74,0,0.400936335
75,0,0.142469108
76,0,0.079906344
77,0,0.062115051
78,0,0.211218864
79,0,0.087676421
80,0,0.184700713
81,0,0.383843184
82,0,0.123153508
83,0,0.024097785
84,0,0.23604846
85,0,0.094186366
86,0,0.165500179
87,0,0.034459546
88,0,0.091866918
89,0,0.049501605
90,0,0.109596141
91,0,0.078836285
92,1,0.138868228
93,0,0.021140398
94,1,0.121090427
95,0,0.048206571
96,0,0.047929537
97,0,0.089681163
98,0,0.189790741
99,0,0.056341514
100,0,0.03047139
101,1,0.020567408
102,0,0.102555536
103,0,0.179789379
104,0,0.103736117
105,0,0.228172973
106,0,0.125992239
107,0,0.017963544
108,0,0.056479804
109,0,0.034154449
110,0,0.018596869
111,0,0.06028397
112,0,0.027046097
113,0,0.060711514
114,0,0.189386636
115,0,0.149366453
116,0,0.404351652
117,0,0.043352123
118,1,0.164838165
119,1,0.119021274
120,0,0.071305707
121,0,0.223935097
122,0,0.060351837
123,0,0.2279246
124,0,0.078368656
125,0,0.534279943
126,1,0.06259954
127,0,0.285395652
128,0,0.045474324
129,0,0.233109668
130,1,0.181240872
131,0,0.190082476
132,1,0.395011306
133,0,0.681321323
134,1,0.107984439
135,0,0.095387399
136,0,0.589247406
137,0,0.04832188
138,1,0.192605779
139,1,0.130203903
140,0,0.325958103
141,0,0.241483912
